Date,Input_A,Input_B,Output
Jan 03,13,13,26
Jan 03,23,3,106
Jan 03,11,15,-113
Jan 03,2,24,120
Jan 03,20,6,109
Jan 03,8,18,116
Jan 03,30,-4,109
Jan 02,-1,7,-121
Jan 02,1,1,-114
Jan 02,-1,1,-61
Jan 02,-7,1,-106
Jan 02,-7,-7,68
Jan 02,-1,-1,39
Jan 02,7,7,-20
Jan 02,7,-7,-22
Jan 02,7,1,-118
Jan 02,1,7,-114
Jan 02,5,6,-82
Jan 02,1,9,-114
Jan 02,9,1,-58
Jan 02,9,9,-50
Jan 02,-9,-9,-60
Jan 02,9,-9,-92
Jan 02,9,-1,-90
Jan 02,-1,9,23
Jan 02,-1,-9,-91
Jan 02,-9,1,-110
Jan 02,1,2,28
Jan 02,2,1,88
Jan 02,2,2,-123
Jan 02,-2,-2,113
Jan 02,2,-2,45
Jan 02,2,-1,-83
Jan 02,-1,2,84
Jan 02,-1,-2,37
Jan 02,-2,1,-45
Jan 02,1,3,-122
Jan 02,3,1,-118
Jan 02,3,3,-122
Jan 02,-3,-3,122
Jan 02,3,-3,-98
Jan 02,3,-1,68
Jan 02,-1,3,19
Jan 02,-1,-3,-125
Jan 02,-3,1,-46
Jan 02,1,4,-114
Jan 02,4,1,-38
Jan 02,4,4,-54
Jan 02,-4,-4,121
Jan 02,4,-4,-59
Jan 02,4,-1,-92
Jan 02,-1,4,-101
Jan 02,-1,-4,43
Jan 02,-4,1,89
Dec 02,55,4,10
Dec 02,55,5,10
Dec 02,55,8,10
Dec 02,55,9,10
Dec 02,55,10,10
Dec 02,55,11,10
Dec 02,55,17,10
Dec 02,55,20,10
Dec 02,55,21,10
Dec 02,55,23,10
Dec 02,55,24,10
Dec 02,55,25,10
Dec 02,55,26,10
Dec 02,55,27,10
Dec 02,55,28,10
Dec 02,61,53,14
Dec 02,61,41,14
Dec 02,53,47,14
Dec 02,53,43,14
Dec 02,53,41,14
Dec 02,53,31,14
Dec 02,53,23,14
Dec 02,10,17,-37
Dec 02,12,27,106
Dec 02,33,12,14
Dec 02,-12,55,48
Dec 02,-63,98,.
Dec 02,5,5,-114
Dec 02,14,83,.
Dec 02,91,-41,.
Dec 02,35,4,-102
Dec 02,10,44,-65
Nov 10,60,50,116
Nov 10,60,51,116
Nov 10,60,52,-70
Nov 10,60,53,97
Nov 10,60,54,42
Nov 10,60,55,-117
Nov 10,60,56,120
Nov 10,60,57,90
Nov 10,60,58,124
Nov 10,60,59,116
Nov 10,60,60,-32
Nov 10,60,61,125
Nov 10,60,62,109
Nov 10,60,63,2
Nov 10,61,50,116
Nov 10,61,51,84
Nov 10,61,52,62
Nov 10,61,53,14
Nov 10,61,54,60
Nov 10,61,55,38
Nov 10,61,56,94
Nov 10,61,57,78
Nov 10,61,58,124
Nov 10,61,59,70
Nov 10,61,60,46
Nov 10,61,61,14
Nov 10,61,62,46
Nov 10,61,63,46
Nov 10,63,50,52
Nov 10,63,51,20
Nov 10,63,52,-53
Nov 10,63,53,26
Nov 10,63,54,-93
Nov 10,63,55,-122
Nov 10,63,56,26
Nov 10,63,57,10
Nov 10,63,58,60
Nov 10,63,59,6
Nov 10,63,60,58
Nov 10,63,61,95
Nov 10,63,62,34
Nov 10,63,63,91
Nov 10,11,-1,-91
Nov 10,11,-2,45
Nov 10,11,-3,-81
Nov 10,11,-4,-83
Nov 10,11,-5,101
Nov 10,11,-6,-103
Nov 10,11,-7,117
Nov 10,11,-8,55
Nov 10,11,-9,-91
Nov 10,11,-10,-91
Nov 10,11,-11,-91
Nov 10,11,-12,-83
Nov 10,11,-13,-53
Nov 10,11,-14,-35
Nov 10,11,-15,-38
Nov 10,11,-16,101
Nov 10,11,-19,-81
Nov 10,11,-20,-81
Nov 10,40,-1,101
Nov 10,40,-2,60
Nov 10,40,-3,20
Nov 10,40,-4,124
Nov 10,40,-5,116
Nov 10,40,-6,116
Nov 10,40,-7,112
Nov 10,40,-8,120
Nov 10,40,-9,-116
Nov 10,40,-10,-84
Nov 10,40,-11,-50
Nov 10,40,-12,-8
Nov 10,40,-13,116
Nov 10,40,-14,116
Nov 10,40,-15,-16
Nov 10,40,-16,112
Nov 10,40,-17,-89
Nov 10,40,-18,61
Nov 03,51,-21,55
Nov 03,51,-22,116
Nov 03,51,-23,27
Nov 03,51,-24,95
Nov 03,51,-25,-91
Nov 03,51,-26,37
Nov 03,51,-27,-121
Nov 03,51,-28,-83
Nov 03,51,-29,80
Nov 03,51,-30,-86
Nov 03,51,-31,92
Nov 03,51,-32,-5
Nov 03,51,-33,-92
Nov 03,51,-34,16
Nov 03,51,-35,28
Nov 03,51,-36,-80
Nov 03,51,-37,00000000
Nov 03,51,-38,32
Nov 03,51,-39,2
Nov 03,51,-40,8
Nov 03,50,-21,37
Nov 03,50,-22,53
Nov 03,50,-23,1
Nov 03,50,-24,57
Nov 03,50,-25,-91
Nov 03,50,-26,53
Nov 03,50,-27,-91
Nov 03,50,-28,-67
Nov 03,31,-1,101
Nov 03,31,-2,109
Nov 03,31,-3,-17
Nov 03,31,-4,109
Nov 03,31,-5,101
Nov 03,31,-6,101
Nov 03,31,-7,101
Nov 03,31,-8,109
Nov 03,31,-9,-27
Nov 03,31,-10,101
Nov 03,31,-11,-27
Nov 03,31,-12,-19
Nov 03,31,-13,101
Nov 03,31,-14,101
Nov 03,31,-15,-27
Nov 03,31,-16,101
Nov 03,31,-17,-89
Nov 03,31,-18,45
